#{"t_start": 1768724745.3618317, "env_id": "CartPole-v1"}
r,l,t
25.0,25,1.682182
55.0,55,1.717503
14.0,14,1.726346
26.0,26,1.742826
14.0,14,1.751849
37.0,37,1.775146
15.0,15,1.784673
21.0,21,1.797815
13.0,13,1.80612
13.0,13,1.814292
12.0,12,1.821668
65.0,65,1.861655
38.0,38,1.885307
15.0,15,1.895041
22.0,22,1.908618
32.0,32,1.928657
38.0,38,1.952733
17.0,17,1.963579
19.0,19,1.975428
20.0,20,1.987968
28.0,28,2.005592
45.0,45,2.034874
16.0,16,2.045999
65.0,65,2.087609
19.0,19,2.100408
28.0,28,2.117935
12.0,12,2.125591
53.0,53,2.158776
42.0,42,2.185117
28.0,28,2.20274
14.0,14,2.211591
25.0,25,2.228305
45.0,45,2.25656
12.0,12,2.264412
10.0,10,2.270801
33.0,33,2.291577
11.0,11,2.298563
12.0,12,2.308799
29.0,29,2.327029
42.0,42,2.35385
22.0,22,2.367608
15.0,15,2.377011
41.0,41,2.404243
10.0,10,2.412352
63.0,63,2.456082
16.0,16,2.466201
37.0,37,2.489421
19.0,19,2.502296
15.0,15,2.513319
51.0,51,2.559589
18.0,18,2.57327
12.0,12,2.581521
31.0,31,2.601891
31.0,31,2.621213
12.0,12,2.628738
42.0,42,2.655283
49.0,49,2.686037
10.0,10,2.692391
21.0,21,2.705503
11.0,11,2.712548
18.0,18,2.723637
11.0,11,2.730562
14.0,14,2.739174
17.0,17,2.749732
18.0,18,2.761065
27.0,27,2.777958
36.0,36,2.800325
12.0,12,2.807826
19.0,19,2.819648
43.0,43,2.846871
33.0,33,2.867447
15.0,15,2.876843
14.0,14,2.885723
49.0,49,2.916816
23.0,23,2.931297
17.0,17,2.941952
18.0,18,2.953626
28.0,28,2.971235
9.0,9,2.976885
38.0,38,4.225729
36.0,36,4.248657
41.0,41,4.274872
51.0,51,4.307353
20.0,20,4.319834
22.0,22,4.335745
44.0,44,4.36524
16.0,16,4.375678
36.0,36,4.397846
46.0,46,4.426711
20.0,20,4.439139
15.0,15,4.448464
12.0,12,4.455967
25.0,25,4.471413
104.0,104,4.536513
48.0,48,4.567285
43.0,43,4.59436
24.0,24,4.609542
11.0,11,4.616434
51.0,51,4.647985
26.0,26,4.66442
45.0,45,4.692709
27.0,27,4.70953
24.0,24,4.724749
30.0,30,4.743917
20.0,20,4.756395
22.0,22,4.770021
