#{"t_start": 1766689445.0568447, "env_id": "CartPole-v1"}
r,l,t
25.0,25,1.43031
55.0,55,1.463673
14.0,14,1.473712
26.0,26,1.490017
14.0,14,1.497547
37.0,37,1.519868
15.0,15,1.530014
21.0,21,1.53529
13.0,13,1.551793
13.0,13,1.564359
12.0,12,1.575068
65.0,65,1.615231
38.0,38,1.631397
15.0,15,1.647073
22.0,22,1.662733
32.0,32,1.678403
38.0,38,1.694081
17.0,17,1.71023
19.0,19,1.71023
20.0,20,1.725911
28.0,28,1.742079
45.0,45,1.773915
16.0,16,1.773915
65.0,65,1.806237
19.0,19,1.821911
28.0,28,1.848753
12.0,12,1.85348
53.0,53,1.885452
42.0,42,1.901276
28.0,28,1.91737
14.0,14,1.933417
25.0,25,1.949097
45.0,45,1.98252
12.0,12,1.990553
10.0,10,1.996312
33.0,33,2.020413
11.0,11,2.028178
12.0,12,2.028178
29.0,29,2.060299
42.0,42,2.085307
22.0,22,2.093078
15.0,15,2.108829
41.0,41,2.149183
10.0,10,2.154711
63.0,63,2.203159
16.0,16,2.214205
37.0,37,2.240817
19.0,19,2.254375
15.0,15,2.263416
51.0,51,2.29923
18.0,18,2.29923
12.0,12,2.315273
31.0,31,2.330947
31.0,31,2.347118
12.0,12,2.347118
42.0,42,2.378939
49.0,49,2.410274
10.0,10,2.410274
21.0,21,2.425953
11.0,11,2.425953
18.0,18,2.442112
11.0,11,2.442112
14.0,14,2.457784
17.0,17,2.463514
18.0,18,2.473948
27.0,27,2.490119
36.0,36,2.506285
12.0,12,2.506285
19.0,19,2.521957
43.0,43,2.553521
33.0,33,2.569455
15.0,15,2.569455
14.0,14,2.59398
49.0,49,2.633967
23.0,23,2.64972
17.0,17,2.663795
18.0,18,2.665575
28.0,28,2.681468
9.0,9,2.697626
38.0,38,3.795654
36.0,36,3.827475
41.0,41,3.852492
51.0,51,3.880317
20.0,20,3.891556
22.0,22,3.90383
44.0,44,3.929081
16.0,16,3.938847
36.0,36,3.959148
46.0,46,3.984428
20.0,20,4.000184
15.0,15,4.000184
12.0,12,4.015871
25.0,25,4.015871
104.0,104,4.080034
48.0,48,4.111382
43.0,43,4.127542
24.0,24,4.143219
11.0,11,4.143219
51.0,51,4.185453
26.0,26,4.201797
45.0,45,4.217845
27.0,27,4.23355
24.0,24,4.249712
30.0,30,4.265384
20.0,20,4.281209
22.0,22,4.29722
59.0,59,4.329055
120.0,120,4.392721
55.0,55,4.424556
25.0,25,4.440227
11.0,11,4.440227
35.0,35,4.465646
26.0,26,4.472068
38.0,38,4.487735
33.0,33,4.503647
19.0,19,4.519561
20.0,20,4.535252
13.0,13,4.535252
17.0,17,4.551095
15.0,15,4.566942
31.0,31,4.583081
37.0,37,4.59924
28.0,28,4.61541
25.0,25,4.631568
30.0,30,4.64725
22.0,22,4.64725
24.0,24,4.666024
42.0,42,4.695329
70.0,70,4.735444
37.0,37,4.76625
19.0,19,4.782368
42.0,42,4.808265
22.0,22,4.822824
15.0,15,4.831863
27.0,27,4.844544
13.0,13,4.844544
54.0,54,4.889102
58.0,58,4.92409
33.0,33,4.939766
34.0,34,4.974126
23.0,23,5.000768
18.0,18,6.133119
17.0,17,6.149195
19.0,19,6.167521
31.0,31,6.190556
39.0,39,6.219403
24.0,24,6.237103
76.0,76,6.304275
22.0,22,6.318745
19.0,19,6.33367
47.0,47,6.365913
19.0,19,6.37847
69.0,69,6.424841
21.0,21,6.436673
34.0,34,6.464834
26.0,26,6.481217
36.0,36,6.50381
14.0,14,6.511074
91.0,91,6.561959
53.0,53,6.593851
33.0,33,6.609518
85.0,85,6.65752
17.0,17,6.673187
21.0,21,6.673187
34.0,34,6.705026
26.0,26,6.705026
83.0,83,6.753027
34.0,34,6.784311
25.0,25,6.784311
78.0,78,6.840706
105.0,105,6.896872
73.0,73,6.94487
51.0,51,6.96863
52.0,52,6.99239
