#{"t_start": 1765749805.9470918, "env_id": "CartPole-v1"}
r,l,t
25.0,25,1.663215
55.0,55,1.711069
14.0,14,1.715196
26.0,26,1.73296
14.0,14,1.748317
37.0,37,1.773265
15.0,15,1.783255
21.0,21,1.797493
13.0,13,1.803234
13.0,13,1.814296
12.0,12,1.822059
65.0,65,1.863164
38.0,38,1.883162
15.0,15,1.893195
22.0,22,1.908077
32.0,32,1.928087
38.0,38,1.943239
17.0,17,1.962975
19.0,19,1.975353
20.0,20,1.988685
28.0,28,2.00769
45.0,45,2.03975
16.0,16,2.051196
65.0,65,2.09466
19.0,19,2.113243
28.0,28,2.144041
12.0,12,2.154524
53.0,53,2.199113
42.0,42,2.228624
28.0,28,2.248248
14.0,14,2.257155
25.0,25,2.274408
45.0,45,2.305547
12.0,12,2.313939
10.0,10,2.315484
33.0,33,2.338111
11.0,11,2.348095
12.0,12,2.358454
29.0,29,2.378627
42.0,42,2.405382
22.0,22,2.419541
15.0,15,2.425133
41.0,41,2.453718
10.0,10,2.453718
63.0,63,2.501336
16.0,16,2.511475
37.0,37,2.533274
19.0,19,2.545467
15.0,15,2.555542
51.0,51,2.585253
18.0,18,2.595339
12.0,12,2.607158
31.0,31,2.625408
31.0,31,2.645576
12.0,12,2.655149
42.0,42,2.675486
49.0,49,2.705235
10.0,10,2.71839
21.0,21,2.725475
11.0,11,2.739298
18.0,18,2.749362
11.0,11,2.756596
14.0,14,2.76342
17.0,17,2.773134
18.0,18,2.783201
27.0,27,2.798122
36.0,36,2.82416
12.0,12,2.833415
19.0,19,2.843007
43.0,43,2.862944
33.0,33,2.889355
15.0,15,2.898193
14.0,14,2.905389
49.0,49,2.937164
23.0,23,2.948217
17.0,17,2.958238
18.0,18,2.972929
28.0,28,2.991845
9.0,9,2.998487
38.0,38,4.148029
24.0,24,4.165195
27.0,27,4.185374
53.0,53,4.221098
28.0,28,4.237244
23.0,23,4.251035
18.0,18,4.26313
26.0,26,4.27816
11.0,11,4.283166
25.0,25,4.303179
21.0,21,4.318151
29.0,29,4.340468
17.0,17,4.351562
28.0,28,4.365453
25.0,25,4.385212
26.0,26,4.395296
99.0,99,4.454729
80.0,80,4.513083
67.0,67,4.555093
33.0,33,4.574778
27.0,27,4.595214
10.0,10,4.595214
21.0,21,4.613317
14.0,14,4.622966
44.0,44,4.645187
14.0,14,4.655284
27.0,27,4.67546
18.0,18,4.685533
28.0,28,4.703141
49.0,49,4.732932
26.0,26,4.748605
32.0,32,4.767977
49.0,49,4.795229
31.0,31,4.818576
42.0,42,4.845132
18.0,18,4.855212
21.0,21,4.871216
38.0,38,4.894303
16.0,16,4.90552
48.0,48,4.935336
19.0,19,4.945427
43.0,43,4.97342
12.0,12,4.981754
16.0,16,4.991571
18.0,18,5.004139
43.0,43,5.028611
26.0,26,5.044764
29.0,29,5.063227
25.0,25,5.078054
20.0,20,5.083238
26.0,26,5.105485
29.0,29,5.118784
27.0,27,5.135345
10.0,10,5.145582
10.0,10,5.145582
59.0,59,5.185302
25.0,25,5.192909
17.0,17,5.20497
19.0,19,5.223025
42.0,42,5.2432
11.0,11,5.253207
26.0,26,5.269213
21.0,21,5.283255
20.0,20,5.295637
42.0,42,5.323028
40.0,40,5.34538
38.0,38,5.366956
35.0,35,5.385313
17.0,17,5.4042
56.0,56,6.583335
15.0,15,6.592915
17.0,17,6.607522
31.0,31,6.625114
29.0,29,6.642958
31.0,31,6.660839
30.0,30,6.679473
40.0,40,6.703304
31.0,31,6.722404
54.0,54,6.753036
36.0,36,6.773094
24.0,24,6.784708
55.0,55,6.823189
45.0,45,6.849268
56.0,56,6.883227
41.0,41,6.903013
63.0,63,6.945522
61.0,61,6.9832
34.0,34,7.006677
68.0,68,7.044739
22.0,22,7.060627
26.0,26,7.077344
30.0,30,7.095339
29.0,29,7.113195
30.0,30,7.125136
45.0,45,7.157204
24.0,24,7.173756
18.0,18,7.183074
24.0,24,7.193318
68.0,68,7.243193
68.0,68,7.285385
63.0,63,7.321256
48.0,48,7.348921
69.0,69,7.39324
48.0,48,7.421122
40.0,40,7.444785
65.0,65,7.486416
25.0,25,7.503213
27.0,27,7.522013
25.0,25,7.538011
35.0,35,7.559314
50.0,50,7.593296
30.0,30,7.607226
66.0,66,7.653182
28.0,28,7.663373
22.0,22,7.683106
39.0,39,7.703277
19.0,19,7.719254
78.0,78,7.763244
13.0,13,7.773216
82.0,82,7.823082
13.0,13,8.986218
47.0,47,9.013507
74.0,74,9.063049
24.0,24,9.07712
35.0,35,9.101501
39.0,39,9.126475
54.0,54,9.160933
54.0,54,9.193288
82.0,82,9.242989
34.0,34,9.263024
86.0,86,9.313063
36.0,36,9.33524
18.0,18,9.34329
12.0,12,9.352953
141.0,141,9.438048
114.0,114,9.511984
48.0,48,9.538206
31.0,31,9.552922
107.0,107,9.623296
35.0,35,9.648731
76.0,76,9.693161
93.0,93,9.757243
20.0,20,9.773123
28.0,28,9.788968
30.0,30,9.806254
71.0,71,9.854013
97.0,97,9.913166
47.0,47,9.935208
73.0,73,9.990545
