#{"t_start": 1765748742.7121987, "env_id": "CartPole-v1"}
r,l,t
19.0,19,1.556247
12.0,12,1.564321
22.0,22,1.577969
10.0,10,1.586051
16.0,16,1.596164
29.0,29,1.614063
24.0,24,1.628169
23.0,23,1.642057
18.0,18,1.653887
13.0,13,1.661966
17.0,17,1.672076
10.0,10,1.678142
16.0,16,1.68797
28.0,28,1.706136
10.0,10,1.712211
13.0,13,1.720024
56.0,56,1.754053
19.0,19,1.765884
29.0,29,1.784105
16.0,16,1.79419
19.0,19,1.810058
15.0,15,1.817824
12.0,12,1.826395
44.0,44,1.854404
24.0,24,1.870413
13.0,13,1.878791
39.0,39,1.900027
15.0,15,1.910095
20.0,20,1.917972
49.0,49,1.956257
18.0,18,1.967961
15.0,15,1.9778
52.0,52,2.012375
14.0,14,2.021696
21.0,21,2.034292
10.0,10,2.042388
11.0,11,2.049967
15.0,15,2.062145
18.0,18,2.076324
32.0,32,2.098007
15.0,15,2.108099
26.0,26,2.124259
22.0,22,2.140424
27.0,27,2.158028
22.0,22,2.174426
24.0,24,2.192153
14.0,14,2.205977
24.0,24,2.222369
21.0,21,2.236494
16.0,16,2.245817
15.0,15,2.256419
23.0,23,2.270072
15.0,15,2.28021
16.0,16,2.290293
20.0,20,2.302123
20.0,20,2.314243
10.0,10,2.320315
19.0,19,2.332144
38.0,38,2.356067
15.0,15,2.364154
20.0,20,2.37804
13.0,13,2.386117
16.0,16,2.396236
27.0,27,2.413221
22.0,22,2.427047
13.0,13,2.430325
10.0,10,2.437833
20.0,20,2.450067
24.0,24,2.467779
20.0,20,2.478263
22.0,22,2.492385
34.0,34,2.507967
20.0,20,2.523975
20.0,20,2.537951
12.0,12,2.540095
39.0,39,2.567959
22.0,22,2.582913
30.0,30,2.602904
14.0,14,2.608006
13.0,13,2.617934
10.0,10,2.620068
10.0,10,2.628123
13.0,13,2.637981
20.0,20,2.652027
15.0,15,2.658234
16.0,16,2.667974
15.0,15,2.678077
14.0,14,2.688022
11.0,11,2.692886
15.0,15,2.700068
26.0,26,2.7182
78.0,78,2.768086
9.0,9,2.774434
25.0,25,2.787814
40.0,40,2.81201
11.0,11,2.820214
16.0,16,2.830326
44.0,44,4.012155
60.0,60,4.052235
40.0,40,4.077901
37.0,37,4.100114
14.0,14,4.110192
19.0,19,4.124279
28.0,28,4.141867
60.0,60,4.18027
11.0,11,4.18803
27.0,27,4.203911
12.0,12,4.212884
