#{"t_start": 1765748816.2495422, "env_id": "CartPole-v1"}
r,l,t
25.0,25,1.55004
55.0,55,1.581956
14.0,14,1.594194
26.0,26,1.61005
14.0,14,1.621855
37.0,37,1.641896
15.0,15,1.652092
21.0,21,1.662329
13.0,13,1.674308
13.0,13,1.685028
12.0,12,1.692813
65.0,65,1.732342
38.0,38,1.751859
15.0,15,1.762085
22.0,22,1.773319
32.0,32,1.797487
38.0,38,1.820788
17.0,17,1.831932
19.0,19,1.842176
20.0,20,1.852206
28.0,28,1.871917
45.0,45,1.90187
16.0,16,1.91215
65.0,65,1.949934
19.0,19,1.963646
28.0,28,1.979808
12.0,12,1.989801
53.0,53,2.027902
42.0,42,2.04977
28.0,28,2.071905
14.0,14,2.082168
25.0,25,2.091471
45.0,45,2.123207
12.0,12,2.132057
10.0,10,2.139646
33.0,33,2.161869
11.0,11,2.161869
12.0,12,2.170988
29.0,29,2.189765
42.0,42,2.223905
22.0,22,2.231901
15.0,15,2.243845
41.0,41,2.275978
10.0,10,2.279815
63.0,63,2.322036
16.0,16,2.331876
37.0,37,2.355731
19.0,19,2.361929
15.0,15,2.37211
51.0,51,2.404034
18.0,18,2.419922
12.0,12,2.428005
31.0,31,2.439812
31.0,31,2.462194
12.0,12,2.471887
42.0,42,2.500029
49.0,49,2.533235
10.0,10,2.540092
21.0,21,2.560048
11.0,11,2.569808
18.0,18,2.579565
11.0,11,2.596744
14.0,14,2.602237
17.0,17,2.622266
18.0,18,2.632136
27.0,27,2.64985
36.0,36,2.685977
12.0,12,2.695787
19.0,19,2.708116
43.0,43,2.737574
33.0,33,2.758678
15.0,15,2.768282
14.0,14,2.778584
49.0,49,2.811885
23.0,23,2.826943
17.0,17,2.838965
18.0,18,2.851158
28.0,28,2.870128
9.0,9,2.876363
38.0,38,4.169706
23.0,23,4.182572
37.0,37,4.21323
13.0,13,4.219998
34.0,34,4.249704
24.0,24,4.269963
20.0,20,4.292065
29.0,29,4.319818
64.0,64,4.370037
22.0,22,4.389575
19.0,19,4.403988
16.0,16,4.416267
22.0,22,4.432046
14.0,14,4.444629
19.0,19,4.461593
29.0,29,4.486415
72.0,72,4.540054
30.0,30,4.562895
23.0,23,4.582206
15.0,15,4.593246
26.0,26,4.611569
17.0,17,4.622823
20.0,20,4.636345
15.0,15,4.644887
11.0,11,4.653249
39.0,39,4.678251
16.0,16,4.679795
32.0,32,4.71344
16.0,16,4.72823
12.0,12,4.739631
19.0,19,4.749656
39.0,39,4.789936
53.0,53,4.832468
14.0,14,4.840035
27.0,27,4.863062
29.0,29,4.879537
34.0,34,4.914728
29.0,29,4.929854
36.0,36,4.959955
12.0,12,4.968812
18.0,18,4.981114
30.0,30,4.999589
24.0,24,5.019753
25.0,25,5.035872
12.0,12,5.043911
59.0,59,5.089551
13.0,13,5.098827
23.0,23,5.115462
22.0,22,5.132481
53.0,53,5.169688
11.0,11,5.182259
12.0,12,5.199955
16.0,16,5.213437
11.0,11,5.219599
30.0,30,5.246786
15.0,15,5.259781
11.0,11,5.269862
11.0,11,5.278245
38.0,38,5.310014
12.0,12,5.319743
19.0,19,5.329669
25.0,25,5.349637
23.0,23,5.370049
